URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://example.org/ValueSet/AirportCodeVS,0.1.0,draft,,AirportCodeVS,Airport Codes VS,"A list of USA Airport Codes.",,"Internal"
http://example.org/ValueSet/InfectiousDiseaseNameVS,0.1.0,draft,,InfectiousDiseaseNameVS,Infectious Disease VS,"A list of all Valid Tuberculosis Codes.",,"Internal"
http://example.org/ValueSet/InfectiousDiseaseVS,0.1.0,draft,,InfectiousDiseaseVS,Infectious Disease VS,"Codes indicating the Infectious Disease.",,"SCT"
http://example.org/ValueSet/QstationsVS,0.1.0,draft,,QstationsVS,Quarintine Stations VS,"A list of all US Quarantine Stations.",,"Internal"
http://example.org/ValueSet/TuberculosisVS,0.1.0,draft,,TuberculosisVS,Tuberculosis VS,"A list of all Valid Tuberculosis Codes.",,"Other"
